|      x0a15       |      x16a31      |      y0a15       |      y16a31      |zx |nx |zy |ny | f |no |       out1       |       out2       |zr |ng |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 1 | 1 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 0 | 1 | 1 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 0000000000000000 | 0000000000000000 | 0000000000000000 | 0000000000000000 | 0 | 1 | 0 | 1 | 0 | 1 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 0000000000000000 | 1 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0000000000000000 | 0 | 0 |
| 1111111111111111 | 1111111111111111 | 0000000000000001 | 0000000000000000 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 1111111111111111 | 0 | 1 |
